Label,True Positive (TP),False Positive (FP),False Negative (FN),True Negative (TN),Positive Predictive Value (PPV),True Positive Rate (TPR),True Negative Rate (TNR),Negative Predictive Value (NPV),Accuracy (ACC),Dice Score (DS)
Stop,78,3,7,992,0.9629629629629629,0.9176470588235294,0.9969849246231156,0.992992992992993,0.9907407407407407,0.9397590361445783
Steep Descent,76,7,9,988,0.9156626506024096,0.8941176470588236,0.992964824120603,0.9909729187562688,0.9851851851851852,0.9047619047619048
Speed Limit 80,86,12,6,976,0.8775510204081632,0.9347826086956522,0.9878542510121457,0.9938900203665988,0.9833333333333333,0.9052631578947369
Speed Limit 20,130,12,8,930,0.9154929577464789,0.9420289855072463,0.9872611464968153,0.9914712153518124,0.9814814814814815,0.9285714285714286
Right Reverse Bend,93,10,13,964,0.9029126213592233,0.8773584905660378,0.9897330595482546,0.9866939611054247,0.9787037037037037,0.8899521531100478
Pedestrian Crossing,86,6,4,984,0.9347826086956522,0.9555555555555556,0.9939393939393939,0.9959514170040485,0.9907407407407407,0.945054945054945
Hump,78,1,5,996,0.9873417721518988,0.9397590361445783,0.9989969909729187,0.995004995004995,0.9944444444444445,0.9629629629629629
Give Way,108,2,1,969,0.9818181818181818,0.9908256880733946,0.9979402677651905,0.9989690721649485,0.9972222222222222,0.9863013698630136
Falling Rocks,96,6,4,974,0.9411764705882353,0.96,0.9938775510204082,0.9959100204498977,0.9907407407407407,0.9504950495049505
Speed Limit 50,76,2,3,999,0.9743589743589743,0.9620253164556962,0.998001998001998,0.9970059880239521,0.9953703703703703,0.9681528662420382
Barrier Ahead,105,7,8,960,0.9375,0.9292035398230089,0.9927611168562565,0.9917355371900827,0.9861111111111112,0.9333333333333333
